sub_bucket_id,gene
endothelial_cell_signature_louvain_12,ROBO4
endothelial_cell_signature_louvain_12,SLC30A5
endothelial_cell_signature_louvain_12,SLIT3
endothelial_cell_signature_louvain_12,SOX17
endothelial_cell_signature_louvain_12,SOX18
endothelial_cell_signature_louvain_12,SPARCL1
endothelial_cell_signature_louvain_12,TIE1
endothelial_cell_signature_louvain_12,TJP1
endothelial_cell_signature_louvain_12,TJP2
endothelial_cell_signature_louvain_12,TJP3
endothelial_cell_signature_louvain_12,TMEM204
endothelial_cell_signature_louvain_12,UNC5B
endothelial_cell_signature_louvain_13,ATP1A2
endothelial_cell_signature_louvain_13,ATP1B1
endothelial_cell_signature_louvain_13,ATP5F1A
endothelial_cell_signature_louvain_13,CALCRL
endothelial_cell_signature_louvain_13,CAVIN2
endothelial_cell_signature_louvain_13,COX4I2
endothelial_cell_signature_louvain_13,COX7A1
endothelial_cell_signature_louvain_13,CPXM2
endothelial_cell_signature_louvain_13,DDX46
endothelial_cell_signature_louvain_13,DKK3
endothelial_cell_signature_louvain_13,EDN1
endothelial_cell_signature_louvain_13,EDNRA
endothelial_cell_signature_louvain_13,EDNRB
endothelial_cell_signature_louvain_13,F2RL1
endothelial_cell_signature_louvain_13,FAM13C
endothelial_cell_signature_louvain_13,FMO2
endothelial_cell_signature_louvain_13,FNDC1
endothelial_cell_signature_louvain_13,FXYD5
endothelial_cell_signature_louvain_13,FXYD6
endothelial_cell_signature_louvain_13,FZD1
endothelial_cell_signature_louvain_13,FZD2
endothelial_cell_signature_louvain_13,FZD4
endothelial_cell_signature_louvain_13,GGT5
endothelial_cell_signature_louvain_13,GNG11
endothelial_cell_signature_louvain_13,GNG2
endothelial_cell_signature_louvain_13,GPX1
endothelial_cell_signature_louvain_13,GRK5
endothelial_cell_signature_louvain_13,GSTM3
endothelial_cell_signature_louvain_13,GUCY1B1
endothelial_cell_signature_louvain_13,IRAG1
endothelial_cell_signature_louvain_13,KCNJ8
endothelial_cell_signature_louvain_13,KCTD12
endothelial_cell_signature_louvain_13,NDP
endothelial_cell_signature_louvain_13,P2RY14
endothelial_cell_signature_louvain_13,PDE5A
endothelial_cell_signature_louvain_13,PEAR1
endothelial_cell_signature_louvain_13,PLAC9
endothelial_cell_signature_louvain_13,PLCB1
endothelial_cell_signature_louvain_13,PLN
endothelial_cell_signature_louvain_13,PPARGC1A
endothelial_cell_signature_louvain_13,PREX1
endothelial_cell_signature_louvain_13,PRKCH
endothelial_cell_signature_louvain_13,PRKG1
endothelial_cell_signature_louvain_13,PTGER3
endothelial_cell_signature_louvain_13,PTGIS
endothelial_cell_signature_louvain_13,RAMP3
endothelial_cell_signature_louvain_13,RGS18
endothelial_cell_signature_louvain_13,RGS5
endothelial_cell_signature_louvain_13,S1PR1
endothelial_cell_signature_louvain_13,S1PR2
endothelial_cell_signature_louvain_13,S1PR3
endothelial_cell_signature_louvain_13,SEPTIN8
endothelial_cell_signature_louvain_13,SFRP4
endothelial_cell_signature_louvain_13,SLCO2A1
endothelial_cell_signature_louvain_13,SNRK
endothelial_cell_signature_louvain_13,ST8SIA4
angiogenic_signalling_louvain_0,AAMP
angiogenic_signalling_louvain_0,ADGRG6
angiogenic_signalling_louvain_0,ADM
angiogenic_signalling_louvain_0,ADORA2B
angiogenic_signalling_louvain_0,AGT
angiogenic_signalling_louvain_0,AGTR1
angiogenic_signalling_louvain_0,AGTR2
angiogenic_signalling_louvain_0,APELA
angiogenic_signalling_louvain_0,APLN
angiogenic_signalling_louvain_0,APLNR
angiogenic_signalling_louvain_0,CALCA
angiogenic_signalling_louvain_0,DAB2
angiogenic_signalling_louvain_0,DBH
angiogenic_signalling_louvain_0,EDN1
angiogenic_signalling_louvain_0,EDN2
angiogenic_signalling_louvain_0,EDNRA
angiogenic_signalling_louvain_0,EGFR
angiogenic_signalling_louvain_0,FSHR
angiogenic_signalling_louvain_0,GHRL
angiogenic_signalling_louvain_0,GHSR
angiogenic_signalling_louvain_0,HTR2B
angiogenic_signalling_louvain_0,LEP
angiogenic_signalling_louvain_0,LRIG2
angiogenic_signalling_louvain_0,PRKG1
angiogenic_signalling_louvain_0,PRKX
angiogenic_signalling_louvain_0,PRL
angiogenic_signalling_louvain_0,PROK1
angiogenic_signalling_louvain_0,PROK2
angiogenic_signalling_louvain_0,PTGIR
angiogenic_signalling_louvain_0,RAMP2
angiogenic_signalling_louvain_0,SCG2
angiogenic_signalling_louvain_0,SST
angiogenic_signalling_louvain_0,STON1
angiogenic_signalling_louvain_0,TBXA2R
angiogenic_signalling_louvain_1,ADIPOQ
angiogenic_signalling_louvain_1,APOA1
angiogenic_signalling_louvain_1,APOD
angiogenic_signalling_louvain_1,APOE
angiogenic_signalling_louvain_1,APP
angiogenic_signalling_louvain_1,CALR
angiogenic_signalling_louvain_1,CDH13
angiogenic_signalling_louvain_1,CLN3
angiogenic_signalling_louvain_1,FAM20C
angiogenic_signalling_louvain_1,GPX1
angiogenic_signalling_louvain_1,GRN
angiogenic_signalling_louvain_1,LGMN
angiogenic_signalling_louvain_1,LIPA
angiogenic_signalling_louvain_1,LRP1
angiogenic_signalling_louvain_1,NAXE
angiogenic_signalling_louvain_1,PNPO
angiogenic_signalling_louvain_1,PPARGC1A
