gene,score,bucket,sub_bucket_id,sub_bucket_label,n_genes
IL6R,Angiogenesis,Angiogenic Signalling,angiogenic_signalling_louvain_2,Cytokine & Chemokine Signalling,79
IL6ST,Angiogenesis,Angiogenic Signalling,angiogenic_signalling_louvain_2,Cytokine & Chemokine Signalling,79
JMJD6,Angiogenesis,Angiogenic Signalling,angiogenic_signalling_louvain_2,Cytokine & Chemokine Signalling,79
LCN2,Angiogenesis,Angiogenic Signalling,angiogenic_signalling_louvain_2,Cytokine & Chemokine Signalling,79
MIA3,Angiogenesis,Angiogenic Signalling,angiogenic_signalling_louvain_2,Cytokine & Chemokine Signalling,79
MIR199A1,Angiogenesis,Angiogenic Signalling,angiogenic_signalling_louvain_2,Cytokine & Chemokine Signalling,79
NOS3,Angiogenesis,Angiogenic Signalling,angiogenic_signalling_louvain_2,Cytokine & Chemokine Signalling,79
NOX1,Angiogenesis,Angiogenic Signalling,angiogenic_signalling_louvain_2,Cytokine & Chemokine Signalling,79
NOX5,Angiogenesis,Angiogenic Signalling,angiogenic_signalling_louvain_2,Cytokine & Chemokine Signalling,79
P2RX4,Angiogenesis,Angiogenic Signalling,angiogenic_signalling_louvain_2,Cytokine & Chemokine Signalling,79
PF4,Angiogenesis,Angiogenic Signalling,angiogenic_signalling_louvain_2,Cytokine & Chemokine Signalling,79
PLAT,Angiogenesis,Angiogenic Signalling,angiogenic_signalling_louvain_2,Cytokine & Chemokine Signalling,79
PLG,Angiogenesis,Angiogenic Signalling,angiogenic_signalling_louvain_2,Cytokine & Chemokine Signalling,79
PLK2,Angiogenesis,Angiogenic Signalling,angiogenic_signalling_louvain_2,Cytokine & Chemokine Signalling,79
PRCP,Angiogenesis,Angiogenic Signalling,angiogenic_signalling_louvain_2,Cytokine & Chemokine Signalling,79
PRG2,Angiogenesis,Angiogenic Signalling,angiogenic_signalling_louvain_2,Cytokine & Chemokine Signalling,79
PTGS2,Angiogenesis,Angiogenic Signalling,angiogenic_signalling_louvain_2,Cytokine & Chemokine Signalling,79
S100A1,Angiogenesis,Angiogenic Signalling,angiogenic_signalling_louvain_2,Cytokine & Chemokine Signalling,79
S100A12,Angiogenesis,Angiogenic Signalling,angiogenic_signalling_louvain_2,Cytokine & Chemokine Signalling,79
S100A2,Angiogenesis,Angiogenic Signalling,angiogenic_signalling_louvain_2,Cytokine & Chemokine Signalling,79
S100A7,Angiogenesis,Angiogenic Signalling,angiogenic_signalling_louvain_2,Cytokine & Chemokine Signalling,79
S100A7A,Angiogenesis,Angiogenic Signalling,angiogenic_signalling_louvain_2,Cytokine & Chemokine Signalling,79
S100A7L2,Angiogenesis,Angiogenic Signalling,angiogenic_signalling_louvain_2,Cytokine & Chemokine Signalling,79
S100A8,Angiogenesis,Angiogenic Signalling,angiogenic_signalling_louvain_2,Cytokine & Chemokine Signalling,79
S100A9,Angiogenesis,Angiogenic Signalling,angiogenic_signalling_louvain_2,Cytokine & Chemokine Signalling,79
S100P,Angiogenesis,Angiogenic Signalling,angiogenic_signalling_louvain_2,Cytokine & Chemokine Signalling,79
SARS1,Angiogenesis,Angiogenic Signalling,angiogenic_signalling_louvain_2,Cytokine & Chemokine Signalling,79
SERPINA5,Angiogenesis,Angiogenic Signalling,angiogenic_signalling_louvain_2,Cytokine & Chemokine Signalling,79
SERPINF1,Angiogenesis,Angiogenic Signalling,angiogenic_signalling_louvain_2,Cytokine & Chemokine Signalling,79
SLC39A14,Angiogenesis,Angiogenic Signalling,angiogenic_signalling_louvain_2,Cytokine & Chemokine Signalling,79
